Brown_Dwarf,Constellation,Right_Ascension,Declination,App_mag,Distance,Spectral_Type,Mass,Radius,Discovery_year,V_mag,Star_name,Bayer_Designation,Distance,Spectral_class,Mass,Radius,Luminosity
2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,0.040092696000000004,0.09659721999999998,2000.0,0.000−26.74,Sun,,0.000015813,G2,1,1,1
Teegarden's star,Aries,2h 53m 0.84s,+16° 52′ 53.2″,15.4,12.578,M7,0.07636704,0.13050900999999998,2003.0,0.001−1.46,Sirius,α CMa,0008.6,A1,2.1,1.71´,25.4
DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,22.92,16.2,L8,0.07636704,0.09968010999999999,2006.0,0.003−0.74,Canopus,α Car,0310,A9,15,71,"13,500"
2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,14.05,29.8,L5γ,0.01909176,0.13564716,2006.0,0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,1.1,1.2,2
2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,15.7,18.6,T8,0.028637640000000002,0.09762484999999999,2002.0,0.005−0.05,Arcturus,α Boo,0037,K2,1.1,26,170
LSR 0602+3910 [de],Auriga,6h 2m 30.45s,39° 10′ 59.2″,20.88,34.6,L1β,0.026728464,0.14489582999999998,2003.0,0.03,Vega,α Lyr,0025,A0,2.2,2.7,50
DENIS J081730.0-615520,Carina,8h 17m 30.01s,−61° 55′ 15.8″,13.6,16.1,T6,0.042001872,0.09659721999999998,2010.0,0.08,Capella,α Aur,0043,G8,2.6,12,150
2MASS 0939−2448,Antlia,9h 39m 35.48s,−24° 48′ 27.9″,16.83,17.4,T8,0.030546816,0.09762484999999999,2005.0,0.13,Rigel,β Ori,0860,B8,23,78.9,"120,000"
2MASS J1047538+212423 [de],Leo,10h 47m 53.85s,21° 24′ 23.4″,15.8,34.4,T6.5,0.040092696000000004,0.09659721999999998,1999.0,0.34,Procyon,α CMi,0011.4,F5,1.5,1.9,7.7
DEN 1048-3956,Antlia,10h 48m 14.64s,−39° 56′ 6.2″,17.4,13.15,M9,0.073503276,0.10995641,2000.0, 0.45,Betelgeuse,α Ori,0640[1],M2,20,950,"60,000"
DENIS-P J1058.7−1548,Crater,10h 58m 47.87s,−15° 48′ 17.2″,14.155,49.0,L3,0.061093632,0.102763,1997.0,0.46,Achernar,α Eri,0144,B3,6.7,9.3,"3,000"
Cha 110913-773444,Chamaeleon,11h 9m 14s,–77° 34′ 45″,21.59,163.0,L,0.007636704,0.18497339999999998,2005.0,0.61,Hadar,β Cen,0390,B1,10.5,8.6,"42,000"
2MASS J11145133−2618235,Hydra,11h 14m 51.33s,−26° 18′ 23.5″,15.86,18.2,T7.5,0.031501404000000004,0.09865247999999999,2005.0,0.76,Altair,α Aql,0017,A7,1.8,1.8,10.5
2MASS J11544223-3400390 [de],Hydra,11h 54m 42.23s,−34° 0′ 39″,14.2,129.0,L0β,0.035319756,0.1541445,2003.0,0.76,Acrux,α Cru,0320,B0.5,18,8.9,"25,000"
2MASSW J1155395-372735 [de],Centaurus,11h 55m 39.52s,−37° 27′ 35″,12.8,31.0,L2,0.061093632,0.102763,2002.0,0.86,Aldebaran,α Tau,0065,K5,1.5,44,520
2MASSI J1217110-031113 [de],Virgo,12h 17m 11.1s,−3° 11′ 13.1″,15.86,36.0,T7.5,0.040092696000000004,0.09659721999999998,1999.0,0.96,Antares,α Sco,0600,M1.5,12,680,"75,000"
2M 1237+6526,Draco,12h 37m 39.19s,65° 26′ 14.8″,16.05,45.6,T6.5,0.039138108,0.09659721999999998,2003.0,0.97,Spica,α Vir,0260,B1,11.43,7.47,"20,512"
SDSSp J125453.90-012247.4 [de],Virgo,12h 54m 53.93s,−1° 22′ 47.4″,14.9,38.0,T2,0.044865636,0.10070773999999999,2000.0,1.14,Pollux,β Gem,0034,K0,1.9,8.8,43
SDSSp J132629.82-003831.5 [de],Virgo,13h 26m 29.81s,−0° 38′ 31.4″,16.1,65.0,L8:,0.048683988000000004,0.09968010999999999,2000.0,1.16,Fomalhaut,α PsA,0025,A3,1.9,1.8,16.6
SDSSp J134646.45-003150.4 [de],Virgo,13h 46m 46.34s,−0° 31′ 50.1″,16.0,48.0,T6.5,0.042001872,0.09659721999999998,2000.0,1.25,Deneb,α Cyg,"2,600",A2,19,203,"200,000"
SDSS J141659.78+500626.4 [de],Boötes,14h 16m 59.86s,50° 6′ 25.8″,22.0,149.0,L4.5,0.056320692,0.10173536999999999,2006.0,1.25,Mimosa,β Cru,0350,B0.5,16,8.4,"34,000"
DENIS-P J142527.97-365023.4 [de],Centaurus,14h 25m 27.98s,−36° 50′ 22.9″,14.0,38.0,L3:,0.020046348000000002,0.13564716,2004.0,1.39,Regulus,α Leo,0077,B7,3.8,3.1,290
2MASS J14482563+1031590 [de],Boötes,14h 48m 25.63s,10° 31′ 59″,15.0,47.0,L4:,0.056320692,0.10173536999999999,2003.0,1.50,Adhara,ε CMa,0430,B2,12.5,14,"39,000"
CFBDSIR 1458+10A,Boötes,14h 58m 29.0s,+10° 13′ 43″,19.83,104.0,T9,0.0105959268,0.1541445,2010.0,1.62,Shaula,λ Sco,0700,B2,14.5,8.8,"36,000"
CFBDSIR 1458+10B,Boötes,14h 58m 29.0s,+10° 13′ 43″,21.85,104.0,Y0,0.008591292,0.13359189999999999,2010.0,1.62,Castor,α Gem,0052,A1,2.8,2.4,30
2MASSW J1506544+132106 [de],Boötes,15h 6m 54.41s,13° 21′ 6″,13.0,46.0,L3,0.065866572,0.10481826,2000.0,1.64,Gacrux,γ Cru,0088,M3.5,1.5,84,820
2MASS 1507−1627,Libra,15h 7m 47.69s,−16° 27′ 38.6″,19.0,23.9,L5,0.057275280000000005,0.10173536999999999,2000.0,1.64,Bellatrix,γ Ori,0240,B2,8.6,5.8,"9,200"
2MASSW J1515008+484742 [de],Boötes,15h 15m 0.83s,48° 47′ 41.6″,14.0,34.0,L6,0.054411516,0.10173536999999999,2003.0,1.65,Elnath,β Tau,0130,B7,5.0,4.2,700
2MASSI J1526140+204341 [de],Serpens,15h 26m 14.05s,20° 43′ 41.4″,16.0,67.0,L7,0.051547752,0.10070773999999999,2000.0,1.69,Miaplacidus,β Car,0110,A1,3.5,6.8,290
DENIS-P J153941.96-052042.4 [de],Libra,15h 39m 41.89s,−5° 20′ 42.8″,14.0,51.0,L4,0.060139044,0.102763,2004.0,1.69,Alnilam,ε Ori,"2,000",B0,32,42,"380,000"
2MASS J15462718-3325111 [de],Lupus,15h 46m 27.19s,−33° 25′ 11.2″,16.0,37.0,T5.5,0.042001872,0.09659721999999998,2002.0,1.72,Gamma Velorum,"γ1,2 Vel","01,100",WC8,9.0,6,"170,000"
2MASSW J1552591+294849 [de],Corona Borealis,15h 52m 59.06s,29° 48′ 48.5″,13.0,68.0,L0β,0.028637640000000002,0.14695108999999998,2003.0,1.74,Alnair,α Gru,0101,B7,4.0,3.4,260
2MASSW J1555157-095605 [de],Libra,15h 55m 15.73s,−9° 56′ 5.5″,13.0,44.0,L1,0.067775748,0.10584589,2002.0,1.77,Alioth,ε UMa,0081,A1,2.9,4.2,110
2MASS J16150413+1340079 [de],Hercules,16h 15m 4.13s,13° 40′ 7.9″,16.0,48.0,T6,0.040092696000000004,0.09659721999999998,2007.0,1.77,Alnitak,ζ Ori,01050,O9.7,33,20,"120,000"
2MASS J16262034+3925190 [de],Hercules,16h 26m 20.34s,39° 25′ 19″,14.44,110.0,L4sd,0.067775748,0.10584589,2004.0,1.79,Dubhe,α UMa,0120,G9,4.25,30,300
2MASSW J1632291+190441 [de],Hercules,16h 32m 29.11s,19° 4′ 40.7″,22.0,50.0,L8,0.046774812,0.09968010999999999,1999.0,1.80,Mirfak,α Per,0590,F5,8.5,68,"5,000"
LSPM J1658+7027 [de],Draco,16h 58m 3.8s,70° 27′ 1.5″,19.0,60.0,L1,0.069684924,0.10687352,2000.0,1.82,Wezen,δ CMa,"1,600",F8,17,200,"82,000"
LSR J1835+3259,Lyra,18h 35m 37.9s,32° 59′ 54.5″,18.27,18.5,M8.5,0.073503276,0.10995641,2003.0,1.84,Sargas,θ Sco,0270,F0,5.7,26,"1,800"
2MASS J22282889-4310262,Grus,22h 28m 28.89s,−43° 10′ 26.2″,15.66,35.0,T6,0.040092696000000004,0.09659721999999998,2013.0,1.85,Kaus Australis,ε Sgr,0140,B9.5,3.5,6.8,360
WISE 0410+1502,Taurus,4h 10m 22.79s,15° 2′ 47.47″,19.25,20.0,Y0,0.005727528,0.12023270999999998,2010.0,1.86,Avior,ε Car,0630,K3,9.0,130,"60,000"
WISE 0458+6434A,Camelopardalis,4h 58m 53.93s,64° 34′ 52.72″,17.5,35.9,T8.5,0.014318820000000001,0.4316046,2010.0,1.86,Alkaid,η UMa,0104,B3,6.1,3.4,"1,350"
WISE 0458+6434B,Camelopardalis,4h 58m 53.93s,64° 34′ 52.72″,18.48,35.9,T9.5,0.00954588,0.39049939999999994,2010.0,1.90,Menkalinan,β Aur,081,A1,2.39,2.77,50
WISE 1405+5534,Ursa Major,14h 5m 18.27s,55° 34′ 21.22″,20.2,25.3,Y0 pec,0.028637640000000002,0.08837618,2010.0,1.91,Atria,α TrA,0390,K2,7,92,"5,500"
